parid,boro,block,lot,exmp_code,year,period,benftstart,condo_number,condo_sfx,coop_num,description,phase_out_start,benefit_year,exmp_end,current_benefit_year,flag_421a16,flag_phasing
1016240015,1,1624,15,5116,2026,3,2007,NA,NA,0,421A 20 YR NO CAP,13,20,2026,20,No,Yes
1016240045,1,1624,45,5116,2023,3,2003,NA,NA,0,421A 20 YR NO CAP,13,20,2022,Expired,No,NA
1016250016,1,1625,16,5110,2023,3,2013,NA,NA,0,421A 10 YR NO CAP,3,10,2022,Expired,No,NA
1016270037,1,1627,37,5114,2026,3,2005,NA,NA,0,421A 25 YR NO CAP,22,25,2029,22,No,Yes
1016270042,1,1627,42,5121,2026,3,2020,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2054,7,Yes,NA
1016270046,1,1627,46,5116,2023,3,2003,NA,NA,0,421A 20 YR NO CAP,13,20,2022,Expired,No,NA
1016300005,1,1630,5,5114,2026,3,2007,NA,NA,0,421A 25 YR NO CAP,22,25,2031,20,No,No
1016330020,1,1633,20,5110,2022,3,2012,NA,NA,0,421A 10 YR NO CAP,3,10,2021,Expired,No,NA
1016370036,1,1637,36,5121,2026,3,2018,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2052,9,Yes,NA
1016380008,1,1638,8,5114,2026,3,2011,NA,NA,0,421A 25 YR NO CAP,22,25,2035,16,No,No
1016390027,1,1639,27,5114,2026,3,2006,NA,NA,0,421A 25 YR NO CAP,22,25,2030,21,No,No
1016390043,1,1639,43,5114,2026,3,2014,NA,NA,0,421A 25 YR NO CAP,22,25,2038,13,No,No
1016390057,1,1639,57,5114,2026,3,2008,NA,NA,0,421A 25 YR NO CAP,22,25,2032,19,No,No
1016430005,1,1643,5,5121,2026,3,2018,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2052,9,Yes,NA
1016440043,1,1644,43,5114,2026,3,2012,NA,NA,0,421A 25 YR NO CAP,22,25,2036,15,No,No
1016440050,1,1644,50,5114,2026,3,2012,NA,NA,0,421A 25 YR NO CAP,22,25,2036,15,No,No
1016450050,1,1645,50,5114,2026,3,2013,NA,NA,103997,421A 25 YR NO CAP,22,25,2037,14,No,No
1016550009,1,1655,9,5121,2026,3,2021,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2055,6,Yes,NA
1016600024,1,1660,24,5113,2026,3,2012,NA,NA,0,421A 15 YR NO CAP,12,15,2026,15,No,Yes
1016600038,1,1660,38,5113,2026,3,2013,NA,NA,0,421A 15 YR NO CAP,12,15,2027,14,No,Yes
1016610024,1,1661,24,5113,2026,3,2013,NA,NA,0,421A 15 YR NO CAP,12,15,2027,14,No,Yes
1016650122,1,1665,122,5121,2026,3,2020,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2054,7,Yes,NA
1016670011,1,1667,11,5121,2026,3,2024,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2058,3,Yes,NA
